indicator,year,location,ageGroup,ebllDescription,pctEbll,fips,numTested,numEbll,denominator,pctTested,unstable,
"Test year (annual method)","2000","Minnesota","<3 years",">10 mcg/dL (historic reference level)","2.0","27000","28268","569","196758","14.4","false"
"Test year (annual method)","2000","Minnesota","3-<6 years",">10 mcg/dL (historic reference level)","2.9","27000","12903","379","201420","6.4","false"
"Test year (annual method)","2000","Minnesota","<6 years",">10 mcg/dL (historic reference level)","2.3","27000","41171","948","398178","10.3","false"
"Test year (annual method)","2001","Minnesota","<3 years",">10 mcg/dL (historic reference level)","1.8","27000","32641","580","200282","16.3","false"
"Test year (annual method)","2001","Minnesota","3-<6 years",">10 mcg/dL (historic reference level)","3.0","27000","14455","436","200373","7.2","false"
"Test year (annual method)","2001","Minnesota","<6 years",">10 mcg/dL (historic reference level)","2.2","27000","47096","1016","400655","11.8","false"
"Test year (annual method)","2002","Minnesota","<3 years",">10 mcg/dL (historic reference level)","1.4","27000","37363","534","201034","18.6","false"
"Test year (annual method)","2002","Minnesota","3-<6 years",">10 mcg/dL (historic reference level)","1.8","27000","15759","283","199444","7.9","false"
"Test year (annual method)","2002","Minnesota","<6 years",">10 mcg/dL (historic reference level)","1.5","27000","53122","817","400478","13.3","false"
"Test year (annual method)","2003","Minnesota","<3 years",">10 mcg/dL (historic reference level)","1.2","27000","45404","535","202694","22.4","false"
"Test year (annual method)","2003","Minnesota","3-<6 years",">10 mcg/dL (historic reference level)","1.4","27000","16411","231","199861","8.2","false"
"Test year (annual method)","2003","Minnesota","<6 years",">10 mcg/dL (historic reference level)","1.2","27000","61815","766","402555","15.4","false"
"Test year (annual method)","2004","Minnesota","<3 years",">10 mcg/dL (historic reference level)","0.8","27000","54220","445","204917","26.5","false"
"Test year (annual method)","2004","Minnesota","3-<6 years",">10 mcg/dL (historic reference level)","1.1","27000","18056","196","202669","8.9","false"
"Test year (annual method)","2004","Minnesota","<6 years",">10 mcg/dL (historic reference level)","0.9","27000","72276","641","407586","17.7","false"
"Test year (annual method)","2005","Minnesota","<3 years",">10 mcg/dL (historic reference level)","0.7","27000","62583","444","207767","30.1","false"
"Test year (annual method)","2005","Minnesota","3-<6 years",">10 mcg/dL (historic reference level)","1.2","27000","16307","190","204019","8","false"
"Test year (annual method)","2005","Minnesota","<6 years",">10 mcg/dL (historic reference level)","0.8","27000","78890","634","411786","19.2","false"
"Test year (annual method)","2006","Minnesota","<3 years",">10 mcg/dL (historic reference level)","0.6","27000","69524","397","209919","33.1","false"
"Test year (annual method)","2006","Minnesota","3-<6 years",">10 mcg/dL (historic reference level)","1.1","27000","16244","178","206981","7.8","false"
"Test year (annual method)","2006","Minnesota","<6 years",">10 mcg/dL (historic reference level)","0.7","27000","85768","575","416900","20.6","false"
"Test year (annual method)","2007","Minnesota","<3 years",">10 mcg/dL (historic reference level)","0.5","27000","77225","354","212725","36.3","false"
"Test year (annual method)","2007","Minnesota","3-<6 years",">10 mcg/dL (historic reference level)","0.9","27000","16229","146","209624","7.7","false"
"Test year (annual method)","2007","Minnesota","<6 years",">10 mcg/dL (historic reference level)","0.5","27000","93454","500","422349","22.1","false"
"Test year (annual method)","2008","Minnesota","<3 years",">10 mcg/dL (historic reference level)","0.4","27000","81544","303","214895","37.9","false"
"Test year (annual method)","2008","Minnesota","3-<6 years",">10 mcg/dL (historic reference level)","0.6","27000","15146","89","211975","7.1","false"
"Test year (annual method)","2008","Minnesota","<6 years",">10 mcg/dL (historic reference level)","0.4","27000","96690","392","426870","22.7","false"
"Test year (annual method)","2009","Minnesota","<3 years",">10 mcg/dL (historic reference level)","0.3","27000","81720","261","213847","38.2","false"
