fips,population,year,county,sex,age,ci,aci,rate,ageAdjust,count,
"27045","36276","2017-2019","Fillmore","All","All Ages 35+ Combined                                                 ","(18.9 - 29.3)","(15.0 - 23.6)","23.7","18.9","85.92",,
"27045","36854","2018-2020","Fillmore","All","All Ages 35+ Combined                                                 ","(20.4 - 31.0)","(15.7 - 24.3)","25.3","19.6","93.28",,
"27045","12285","2020","Fillmore","All","All Ages 35+ Combined                                                 ","(11.7 - 27.8)","(9.2 - 23.0)","18.5","14.9","22.72",,
"27047","55856","2008-2010","Freeborn","All","All Ages 35+ Combined                                                 ","(44.8 - 56.6)","(33.5 - 42.7)","50.7","38.1","283",,
"27047","56029","2011-2013","Freeborn","All","All Ages 35+ Combined                                                 ","(44.0 - 55.6)","(32.7 - 41.8)","49.8","37.3","279",,
"27047","55523","2013-2015","Freeborn","All","All Ages 35+ Combined                                                 ","(34.7 - 45.2)","(25.1 - 33.2)","40","29.2","222",,
"27047","53264","2015-2017","Freeborn","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","34.7","31.7","184.96",,
"27047","53075","2016-2018","Freeborn","All","All Ages 35+ Combined                                                 ","(28.4 - 38.3)","(22.9 - 32.1)","33.4","27.5","177.04",,
"27047","54018","2017-2019","Freeborn","All","All Ages 35+ Combined                                                 ","(30.0 - 39.9)","(22.6 - 30.7)","34.9","26.6","188.79",,
"27047","55020","2018-2020","Freeborn","All","All Ages 35+ Combined                                                 ","(35.2 - 45.8)","(25.9 - 34.3)","40.5","30.1","222.88",,
"27047","18377","2020","Freeborn","All","All Ages 35+ Combined                                                 ","(28.4 - 46.4)","(20.8 - 35.2)","36.6","27.3","67.24",,
"27049","78817","2008-2010","Goodhue","All","All Ages 35+ Combined                                                 ","(32.2 - 40.6)","(27.0 - 34.3)","36.4","30.7","287",,
"27049","81212","2011-2013","Goodhue","All","All Ages 35+ Combined                                                 ","(34.3 - 42.8)","(27.5 - 34.7)","38.5","31.1","313",,
"27049","82070","2013-2015","Goodhue","All","All Ages 35+ Combined                                                 ","(31.6 - 39.8)","(25.3 - 32.2)","35.7","28.8","293",,
"27049","80056","2015-2017","Goodhue","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","30","30","240.45",,
"27049","80058","2016-2018","Goodhue","All","All Ages 35+ Combined                                                 ","(29.0 - 37.0)","(28.3 - 37.7)","33","33","264.09",,
"27049","81166","2017-2019","Goodhue","All","All Ages 35+ Combined                                                 ","(29.2 - 37.1)","(23.6 - 30.5)","33.2","27.1","269.22",,
"27049","82488","2018-2020","Goodhue","All","All Ages 35+ Combined                                                 ","(33.4 - 41.8)","(26.6 - 33.6)","37.6","30.1","310.09",,
"27049","27608","2020","Goodhue","All","All Ages 35+ Combined                                                 ","(26.7 - 40.6)","(23.2 - 36.2)","33.1","29.2","91.36",,
"27051","11028","2008-2010","Grant","All","All Ages 35+ Combined                                                 ","(43.1 - 72.1)","(31.3 - 54.2)","56.2","41.6","62",,
"27051","11099","2011-2013","Grant","All","All Ages 35+ Combined                                                 ","(28.0 - 52.2)","(18.2 - 35.8)","38.7","25.9","43",,
"27051","10942","2013-2015","Grant","All","All Ages 35+ Combined                                                 ","(26.1 - 49.8)","(18.8 - 38.5)","36.6","27.4","40",,
"27051","10443","2015-2017","Grant","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","28.9","24.4","30.2",,
"27051","10472","2016-2018","Grant","All","All Ages 35+ Combined                                                 ","(20.8 - 43.0)","(16.6 - 38.9)","30.5","26","31.91",,
"27051","10705","2017-2019","Grant","All","All Ages 35+ Combined                                                 ","(26.3 - 50.4)","(19.3 - 39.4)","36.9","28","39.55",,
"27051","10940","2018-2020","Grant","All","All Ages 35+ Combined                                                 ","(35.2 - 61.9)","(25.5 - 47.4)","47.2","35.2","51.62",,
"27051","3646","2020","Grant","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27053","1803765","2008-2010","Hennepin","All","All Ages 35+ Combined                                                 ","(23.1 - 24.6)","(23.3 - 24.7)","23.8","24","4301",,
"27053","1825524","2011-2013","Hennepin","All","All Ages 35+ Combined                                                 ","(22.3 - 23.7)","(21.2 - 22.6)","23","21.9","4193",,
"27053","1881151","2013-2015","Hennepin","All","All Ages 35+ Combined                                                 ","(24.4 - 25.8)","(23.0 - 24.4)","25.1","23.7","4716",,
"27053","1873373","2015-2017","Hennepin","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","23.5","26.4","4401.35",,
"27053","1919834","2016-2018","Hennepin","All","All Ages 35+ Combined                                                 ","(22.1 - 23.4)","(24.2 - 25.9)","22.7","25","4364.4",,
"27053","1947237","2017-2019","Hennepin","All","All Ages 35+ Combined                                                 ","(21.8 - 23.2)","(21.1 - 22.5)","22.5","21.8","4379.5",,
"27053","1973803","2018-2020","Hennepin","All","All Ages 35+ Combined                                                 ","(21.8 - 23.1)","(20.3 - 21.5)","22.5","20.9","4438.73",,
"27053","660322","2020","Hennepin","All","All Ages 35+ Combined                                                 ","(19.2 - 21.4)","(17.8 - 19.9)","20.3","18.8","1339.93",,
"27055","34077","2008-2010","Houston","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27055","34200","2011-2013","Houston","All","All Ages 35+ Combined                                                 ","(1.0 - 4.6)","(0.7 - 3.5)","2.3","1.8","8",,
"27055","34323","2013-2015","Houston","All","All Ages 35+ Combined                                                 ","(2.7 - 7.6)","(1.7 - 5.0)","4.7","3.1","16",,
"27055","33427","2015-2017","Houston","ALL","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27055","33339","2016-2018","Houston","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27055","33876","2017-2019","Houston","All","All Ages 35+ Combined                                                 ","(1.2 - 4.9)","(0.8 - 3.5)","2.6","1.8","8.71",,
"27055","34419","2018-2020","Houston","All","All Ages 35+ Combined                                                 ","(1.0 - 4.5)","(0.7 - 3.2)","2.3","1.6","7.77",,
"27055","11501","2020","Houston","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27057","35539","2008-2010","Hubbard","All","All Ages 35+ Combined                                                 ","(27.2 - 39.2)","(21.8 - 31.8)","33.2","26.8","118",,
"27057","38921","2011-2013","Hubbard","All","All Ages 35+ Combined                                                 ","(27.0 - 38.3)","(20.5 - 29.5)","32.6","25","127",,
"27057","39473","2013-2015","Hubbard","All","All Ages 35+ Combined                                                 ","(35.2 - 47.9)","(27.0 - 37.5)","41.5","32.3","164",,
"27057","38377","2015-2017","Hubbard","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","43.2","39.3","165.73",,
"27057","39148","2016-2018","Hubbard","All","All Ages 35+ Combined                                                 ","(39.1 - 52.6)","(33.3 - 46.9)","45.9","40.1","179.5",,
"27057","39933","2017-2019","Hubbard","All","All Ages 35+ Combined                                                 ","(39.5 - 52.8)","(30.4 - 41.6)","46.1","36","184.16",,
"27057","40725","2018-2020","Hubbard","All","All Ages 35+ Combined                                                 ","(44.2 - 58.0)","(31.2 - 41.8)","51.1","36.5","208.12",,
"27057","13637","2020","Hubbard","All","All Ages 35+ Combined                                                 ","(34.4 - 57.7)","(24.0 - 41.6)","45","31.9","61.34",,
"27059","60432","2008-2010","Isanti","All","All Ages 35+ Combined                                                 ","(18.7 - 26.3)","(19.3 - 27.3)","22.5","23.3","136",,
"27059","62275","2011-2013","Isanti","All","All Ages 35+ Combined                                                 ","(27.4 - 36.2)","(26.6 - 35.3)","31.8","30.9","198",,
"27059","63581","2013-2015","Isanti","All","All Ages 35+ Combined                                                 ","(31.6 - 41.0)","(29.5 - 38.5)","36.3","34","231",,
"27059","63231","2015-2017","Isanti","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","32.2","36","203.71",,
"27059","64847","2016-2018","Isanti","All","All Ages 35+ Combined                                                 ","(28.1 - 36.9)","(30.7 - 42.3)","32.5","36.5","210.73",,
"27059","65932","2017-2019","Isanti","All","All Ages 35+ Combined                                                 ","(29.5 - 38.4)","(27.6 - 36.3)","33.9","31.9","223.64",,
"27059","66919","2018-2020","Isanti","All","All Ages 35+ Combined                                                 ","(31.1 - 40.1)","(27.7 - 36.0)","35.6","31.9","238.33",,
"27059","22397","2020","Isanti","All","All Ages 35+ Combined                                                 ","(29.2 - 45.5)","(26.7 - 42.4)","36.7","33.9","82.14",,
"27061","80732","2008-2010","Itasca","All","All Ages 35+ Combined                                                 ","(55.1 - 65.8)","(45.5 - 54.7)","60.4","50.1","488",,
"27061","83377","2011-2013","Itasca","All","All Ages 35+ Combined                                                 ","(38.8 - 47.8)","(30.7 - 38.1)","43.3","34.4","361",,
"27061","84200","2013-2015","Itasca","All","All Ages 35+ Combined                                                 ","(51.8 - 62.0)","(40.8 - 49.3)","56.9","45","479",,
"27061","81859","2015-2017","Itasca","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","46.2","42.2","377.96",,
"27061","82262","2016-2018","Itasca","All","All Ages 35+ Combined                                                 ","(39.2 - 48.2)","(34.6 - 44.1)","43.7","39.4","359.41",,
"27061","83607","2017-2019","Itasca","All","All Ages 35+ Combined                                                 ","(39.8 - 48.9)","(32.8 - 40.9)","44.4","36.9","370.84",,
"27061","84962","2018-2020","Itasca","All","All Ages 35+ Combined                                                 ","(43.4 - 52.7)","(34.4 - 42.4)","48.1","38.4","408.28",,
"27061","28404","2020","Itasca","All","All Ages 35+ Combined                                                 ","(41.3 - 57.6)","(31.9 - 45.6)","49.5","38.8","140.48",,
"27063","19293","2008-2010","Jackson","All","All Ages 35+ Combined                                                 ","(39.8 - 60.2)","(28.3 - 43.6)","49.2","35.4","95",,
"27063","18315","2011-2013","Jackson","All","All Ages 35+ Combined                                                 ","(32.7 - 51.9)","(23.7 - 38.4)","41.5","30.4","76",,
"27063","18175","2013-2015","Jackson","All","All Ages 35+ Combined                                                 ","(37.8 - 58.4)","(28.0 - 44.5)","47.3","35.5","86",,
"27063","17431","2015-2017","Jackson","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","23.1","18.2","40.18",,
"27063","17558","2016-2018","Jackson","All","All Ages 35+ Combined                                                 ","(7.1 - 17.8)","(3.9 - 11.4)","11.6","6.9","20.33",,
"27063","17949","2017-2019","Jackson","All","All Ages 35+ Combined                                                 ","(12.0 - 24.9)","(7.6 - 16.5)","17.6","11.4","31.56",,
"27063","18254","2018-2020","Jackson","All","All Ages 35+ Combined                                                 ","(19.3 - 34.8)","(13.2 - 24.7)","26.2","18.3","47.82",,
"27063","6072","2020","Jackson","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27065","27657","2008-2010","Kanabec","All","All Ages 35+ Combined                                                 ","(33.3 - 48.4)","(30.5 - 44.5)","40.9","37.5","113",,
"27065","28755","2011-2013","Kanabec","All","All Ages 35+ Combined                                                 ","(31.4 - 45.8)","(27.4 - 40.4)","38.6","33.9","111",,
"27065","28856","2013-2015","Kanabec","All","All Ages 35+ Combined                                                 ","(33.2 - 47.9)","(27.1 - 39.4)","40.5","33.2","117",,
"27065","28208","2015-2017","Kanabec","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","39.3","36.6","110.72",,
"27065","28736","2016-2018","Kanabec","All","All Ages 35+ Combined                                                 ","(33.5 - 48.3)","(28.8 - 43.7)","40.9","36.3","117.64",,
"27065","29273","2017-2019","Kanabec","All","All Ages 35+ Combined                                                 ","(37.5 - 52.9)","(30.1 - 43.3)","45.2","36.7","132.26",,
"27065","29788","2018-2020","Kanabec","All","All Ages 35+ Combined                                                 ","(41.0 - 56.9)","(33.0 - 46.7)","49","39.8","145.85",,
"27065","9962","2020","Kanabec","All","All Ages 35+ Combined                                                 ","(30.5 - 57.1)","(24.6 - 48.7)","42.3","35.2","42.14",,
"27067","68077","2008-2010","Kandiyohi","All","All Ages 35+ Combined                                                 ","(31.5 - 40.5)","(25.5 - 33.0)","36","29.2","245",,
"27067","69967","2011-2013","Kandiyohi","All","All Ages 35+ Combined                                                 ","(25.7 - 33.8)","(20.3 - 26.9)","29.7","23.6","208",,
"27067","70498","2013-2015","Kandiyohi","All","All Ages 35+ Combined                                                 ","(26.6 - 34.7)","(20.7 - 27.4)","30.6","24.1","216",,
"27067","68644","2015-2017","Kandiyohi","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","23.5","22.2","161.06",,
"27067","68928","2016-2018","Kandiyohi","All","All Ages 35+ Combined                                                 ","(22.5 - 30.1)","(21.0 - 29.5)","26.3","25.2","181.29",,
"27067","70004","2017-2019","Kandiyohi","All","All Ages 35+ Combined                                                 ","(24.4 - 32.3)","(19.7 - 26.5)","28.4","23.1","198.6",,
"27067","71040","2018-2020","Kandiyohi","All","All Ages 35+ Combined                                                 ","(28.1 - 36.4)","(21.8 - 28.6)","32.3","25.2","229.21",,
"27067","23667","2020","Kandiyohi","All","All Ages 35+ Combined                                                 ","(24.8 - 39.5)","(18.7 - 30.5)","31.5","24.1","74.6",,
"27069","8757","2008-2010","Kittson","All","All Ages 35+ Combined                                                 ","(29.7 - 58.2)","(20.5 - 41.2)","42.3","29.5","37",,
"27069","8698","2011-2013","Kittson","All","All Ages 35+ Combined                                                 ","(29.0 - 57.3)","(20.4 - 41.9)","41.4","29.7","36",,
"27069","8424","2013-2015","Kittson","All","All Ages 35+ Combined                                                 ","(29.9 - 59.2)","(20.5 - 42.4)","42.7","30","36",,
"27069","8011","2015-2017","Kittson","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","41.7","38.6","33.38",,
"27069","7761","2016-2018","Kittson","All","All Ages 35+ Combined                                                 ","(31.7 - 63.2)","(25.3 - 56.5)","45.5","38.6","35.3",,
"27069","7907","2017-2019","Kittson","All","All Ages 35+ Combined                                                 ","(25.0 - 53.4)","(17.4 - 39.2)","37.3","26.7","29.46",,
"27069","8048","2018-2020","Kittson","All","All Ages 35+ Combined                                                 ","(29.6 - 59.6)","(19.9 - 42.2)","42.7","29.5","34.38",,
"27069","2690","2020","Kittson","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27071","25177","2008-2010","Koochiching","All","All Ages 35+ Combined                                                 ","(39.1 - 56.2)","(32.2 - 46.9)","47.7","39.6","120",,
"27071","25190","2011-2013","Koochiching","All","All Ages 35+ Combined                                                 ","(39.5 - 56.6)","(31.4 - 45.7)","48","38.6","121",,
"27071","24921","2013-2015","Koochiching","All","All Ages 35+ Combined                                                 ","(52.0 - 71.6)","(40.6 - 56.6)","61.8","48.6","154",,
"27071","23936","2015-2017","Koochiching","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","50.9","51.2","121.92",,
"27071","23793","2016-2018","Koochiching","All","All Ages 35+ Combined                                                 ","(39.2 - 56.8)","(34.2 - 52.1)","48","43.2","114.11",,
"27071","24156","2017-2019","Koochiching","All","All Ages 35+ Combined                                                 ","(37.5 - 54.6)","(29.3 - 43.9)","46","36.6","111.17",,
"27071","24512","2018-2020","Koochiching","All","All Ages 35+ Combined                                                 ","(38.8 - 56.1)","(29.2 - 43.6)","47.5","36.4","116.31",,
"27071","8151","2020","Koochiching","All","All Ages 35+ Combined                                                 ","(23.6 - 50.8)","(16.8 - 40.8)","35.3","26.9","28.78",,
"27073","13837","2008-2010","Lac qui Parle","All","All Ages 35+ Combined                                                 ","(26.2 - 46.8)","(17.5 - 32.4)","35.4","24.1","49",,
"27073","13781","2011-2013","Lac qui Parle","All","All Ages 35+ Combined                                                 ","(28.8 - 50.3)","(17.7 - 31.9)","38.5","24","53",,
"27073","13372","2013-2015","Lac qui Parle","All","All Ages 35+ Combined                                                 ","(32.3 - 55.2)","(21.9 - 39.2)","42.6","29.6","57",,
"27073","12688","2015-2017","Lac qui Parle","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","37","26","46.97",,
"27073","12540","2016-2018","Lac qui Parle","All","All Ages 35+ Combined                                                 ","(20.5 - 40.3)","(11.9 - 27.1)","29.2","18.4","36.58",,
"27073","12865","2017-2019","Lac qui Parle","All","All Ages 35+ Combined                                                 ","(19.4 - 38.5)","(10.9 - 22.5)","27.7","16","35.69",,
"27073","13126","2018-2020","Lac qui Parle","All","All Ages 35+ Combined                                                 ","(22.8 - 42.9)","(15.1 - 29.8)","31.7","21.5","41.61",,
"27073","4362","2020","Lac qui Parle","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27075","20392","2008-2010","Lake","All","All Ages 35+ Combined                                                 ","(36.8 - 55.9)","(27.8 - 42.7)","45.6","34.6","93",,
"27075","21101","2011-2013","Lake","All","All Ages 35+ Combined                                                 ","(36.0 - 54.5)","(25.6 - 40.0)","44.5","32.2","94",,
"27075","20956","2013-2015","Lake","All","All Ages 35+ Combined                                                 ","(32.4 - 50.2)","(21.2 - 33.6)","40.6","26.9","85",,
"27075","20246","2015-2017","Lake","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","38.9","33.5","78.8",,
"27075","20064","2016-2018","Lake","All","All Ages 35+ Combined                                                 ","(30.4 - 48.2)","(25.5 - 43.4)","38.6","33.6","77.35",,
"27075","20630","2017-2019","Lake","All","All Ages 35+ Combined                                                 ","(31.5 - 49.3)","(23.3 - 38.0)","39.7","30","81.85",,
"27075","21126","2018-2020","Lake","All","All Ages 35+ Combined                                                 ","(29.3 - 46.2)","(20.5 - 33.8)","37","26.6","78.25",,
"27075","7059","2020","Lake","All","All Ages 35+ Combined                                                 ","(19.0 - 46.3)","(13.4 - 36.2)","30.5","22.8","21.5",,
"27077","7845","2008-2010","Lake of the Woods","All","All Ages 35+ Combined                                                 ","(46.2 - 82.6)","(36.1 - 64.8)","62.5","48.9","49",,
"27077","7942","2011-2013","Lake of the Woods","All","All Ages 35+ Combined                                                 ","(30.7 - 61.3)","(24.4 - 51.9)","44.1","36.3","35",,
"27077","7874","2013-2015","Lake of the Woods","All","All Ages 35+ Combined                                                 ","(40.6 - 75.0)","(34.0 - 66.1)","55.9","48.1","44",,
"27077","7568","2015-2017","Lake of the Woods","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","45.7","51.2","34.6",,
"27077","7294","2016-2018","Lake of the Woods","All","All Ages 35+ Combined                                                 ","(31.6 - 64.2)","(26.1 - 63.0)","45.8","41.7","33.44",,
"27077","7358","2017-2019","Lake of the Woods","All","All Ages 35+ Combined                                                 ","(37.8 - 72.6)","(30.7 - 65.2)","53.1","45.6","39.06",,
"27077","7454","2018-2020","Lake of the Woods","All","All Ages 35+ Combined                                                 ","(55.3 - 95.7)","(42.7 - 78.9)","73.5","58.8","54.76",,
"27077","2478","2020","Lake of the Woods","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27079","46458","2008-2010","Le Sueur","All","All Ages 35+ Combined                                                 ","(23.0 - 32.6)","(21.7 - 30.9)","27.8","26.3","129",,
"27079","46840","2011-2013","Le Sueur","All","All Ages 35+ Combined                                                 ","(23.6 - 33.2)","(20.9 - 29.6)","28.4","25.2","133",,
"27079","47306","2013-2015","Le Sueur","All","All Ages 35+ Combined                                                 ","(26.2 - 36.3)","(23.6 - 32.8)","31.3","28.2","148",,
"27079","46668","2015-2017","Le Sueur","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","33.9","35.4","158.42",,
"27079","47593","2016-2018","Le Sueur","All","All Ages 35+ Combined                                                 ","(26.4 - 36.5)","(25.4 - 36.8)","31.5","31.1","149.79",,
"27079","48400","2017-2019","Le Sueur","All","All Ages 35+ Combined                                                 ","(29.0 - 39.4)","(25.5 - 35.2)","34.2","30.4","165.39",,
"27079","49183","2018-2020","Le Sueur","All","All Ages 35+ Combined                                                 ","(29.4 - 39.8)","(24.9 - 34.0)","34.6","29.5","170.16",,
"27079","16458","2020","Le Sueur","All","All Ages 35+ Combined                                                 ","(17.8 - 33.6)","(14.8 - 28.4)","24.8","20.8","40.78",,
"27081","10824","2008-2010","Lincoln","All","All Ages 35+ Combined                                                 ","(31.9 - 57.7)","(26.3 - 50.4)","43.4","36.9","47",,
"27081","10852","2011-2013","Lincoln","All","All Ages 35+ Combined                                                 ","(15.7 - 35.1)","(10.3 - 25.8)","24","16.7","26",,
"27081","10725","2013-2015","Lincoln","All","All Ages 35+ Combined                                                 ","(23.5 - 46.5)","(16.3 - 36.0)","33.6","24.7","36",,
"27081","10182","2015-2017","Lincoln","ALL","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27081","9941","2016-2018","Lincoln","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27081","10123","2017-2019","Lincoln","All","All Ages 35+ Combined                                                 ","(9.9 - 27.1)","(5.9 - 17.1)","16.9","10.5","17.14",,
"27081","10321","2018-2020","Lincoln","All","All Ages 35+ Combined                                                 ","(17.6 - 38.5)","(10.6 - 24.5)","26.5","16.5","27.4",,
"27081","3414","2020","Lincoln","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27083","38014","2008-2010","Lyon","All","All Ages 35+ Combined                                                 ","(25.4 - 36.6)","(20.2 - 29.4)","31","24.8","118",,
"27083","38373","2011-2013","Lyon","All","All Ages 35+ Combined                                                 ","(25.0 - 36.0)","(20.9 - 30.6)","30.5","25.8","117",,
"27083","38983","2013-2015","Lyon","All","All Ages 35+ Combined                                                 ","(27.6 - 39.1)","(22.2 - 31.9)","33.3","27.1","130",,
"27083","38410","2015-2017","Lyon","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","13.3","9.9","50.95",,
"27083","38673","2016-2018","Lyon","All","All Ages 35+ Combined                                                 ","(3.4 - 8.4)","(2.3 - 6.7)","5.5","4.1","21.31",,
"27083","39279","2017-2019","Lyon","All","All Ages 35+ Combined                                                 ","(8.1 - 15.0)","(7.0 - 13.5)","11.2","9.8","43.92",,
"27083","39801","2018-2020","Lyon","All","All Ages 35+ Combined                                                 ","(14.8 - 23.6)","(12.2 - 19.7)","18.8","15.6","75.01",,
"27083","13269","2020","Lyon","All","All Ages 35+ Combined                                                 ","(16.9 - 34.6)","(13.7 - 28.8)","24.6","20.3","32.68",,
"27085","60068","2008-2010","McLeod","All","All Ages 35+ Combined                                                 ","(35.4 - 45.5)","(31.6 - 40.9)","40.5","36.2","243",,
"27085","60639","2011-2013","McLeod","All","All Ages 35+ Combined                                                 ","(30.9 - 40.4)","(25.5 - 33.6)","35.6","29.6","216",,
"27085","36736","2013-2015","McLeod","All","All Ages 35+ Combined                                                 ","(48.9 - 64.3)","(33.9 - 45.8)","56.6","39.8","208",,
"27085","34896","2015-2017","McLeod","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","35.6","30.1","124.11",,
"27085","59724","2016-2018","McLeod","All","All Ages 35+ Combined                                                 ","(30.9 - 40.5)","(28.1 - 38.0)","35.7","33.1","213.11",,
"27085","8332","2017-2019","McLeod","All","All Ages 35+ Combined                                                 ","(38.3 - 70.8)","(32.4 - 62.3)","52.7","45.6","43.94",,
"27085","61530","2018-2020","McLeod","All","All Ages 35+ Combined                                                 ","(29.9 - 39.2)","(24.6 - 32.5)","34.6","28.5","212.7",,
"27085","20525","2020","McLeod","All","All Ages 35+ Combined                                                 ","(22.9 - 38.3)","(19.3 - 33.2)","29.9","25.6","61.28",,
"27087","8264","2008-2010","Mahnomen","All","All Ages 35+ Combined                                                 ","(62.8 - 103.0)","(51.5 - 85.9)","81.1","67.1","67",,
"27087","8529","2011-2013","Mahnomen","All","All Ages 35+ Combined                                                 ","(23.7 - 50.2)","(18.6 - 39.8)","35.2","27.7","30",,
"27087","61111","2013-2015","Mahnomen","All","All Ages 35+ Combined                                                 ","(33.5 - 43.4)","(28.3 - 36.9)","38.5","32.6","235",,
"27087","59500","2015-2017","Mahnomen","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","38.6","38","229.45",,
"27087","8214","2016-2018","Mahnomen","All","All Ages 35+ Combined                                                 ","(39.3 - 72.4)","(35.1 - 69.7)","54","50.2","44.38",,
"27087","16383","2017-2019","Mahnomen","All","All Ages 35+ Combined                                                 ","(23.9 - 41.9)","(19.6 - 35.9)","32","26.8","52.36",,
"27087","8419","2018-2020","Mahnomen","All","All Ages 35+ Combined                                                 ","(47.8 - 83.2)","(37.5 - 66.9)","63.7","50.6","53.63",,
"27087","2795","2020","Mahnomen","All","All Ages 35+ Combined                                                 ","null","null","null","null","null",,
"27089","17094","2008-2010","Marshall","All","All Ages 35+ Combined                                                 ","(27.3 - 45.8)","(21.0 - 36.1)","35.7","27.8","61",,
"27089","16879","2011-2013","Marshall","All","All Ages 35+ Combined                                                 ","(27.6 - 46.4)","(20.4 - 34.8)","36.1","26.9","61",,
"27089","8468","2013-2015","Marshall","All","All Ages 35+ Combined                                                 ","(42.8 - 76.5)","(36.1 - 66.7)","57.9","49.7","49",,
"27089","8159","2015-2017","Marshall","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","56.1","50.8","45.8",,
"27089","16117","2016-2018","Marshall","All","All Ages 35+ Combined                                                 ","(23.9 - 42.0)","(23.0 - 44.2)","32","32.3","51.57",,
"27089","35285","2017-2019","Marshall","All","All Ages 35+ Combined                                                 ","(24.6 - 36.1)","(18.2 - 27.9)","30.4","23.1","107.2",,
"27089","16641","2018-2020","Marshall","All","All Ages 35+ Combined                                                 ","(27.1 - 45.9)","(21.4 - 38.1)","35.6","28.8","59.25",,
"27089","5540","2020","Marshall","All","All Ages 35+ Combined                                                 ","(24.1 - 58.9)","(17.4 - 44.2)","38.7","28.6","21.45",,
"27091","37842","2008-2010","Martin","All","All Ages 35+ Combined                                                 ","(54.9 - 70.9)","(40.5 - 53.1)","62.9","46.8","238",,
"27091","37527","2011-2013","Martin","All","All Ages 35+ Combined                                                 ","(49.1 - 64.4)","(35.5 - 47.6)","56.8","41.6","213",,
"27091","16701","2013-2015","Martin","All","All Ages 35+ Combined                                                 ","(26.4 - 44.9)","(20.4 - 35.5)","34.7","27.2","58",,
"27091","16130","2015-2017","Martin","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","31.2","30.4","50.32",,
"27091","34843","2016-2018","Martin","All","All Ages 35+ Combined                                                 ","(24.9 - 36.6)","(21.4 - 34.1)","30.8","27.8","107.21",,
"27091","60624","2017-2019","Martin","All","All Ages 35+ Combined                                                 ","(30.3 - 39.7)","(25.3 - 33.5)","35","29.4","212.05",,
"27091","35790","2018-2020","Martin","All","All Ages 35+ Combined                                                 ","(25.4 - 37.0)","(18.3 - 27.8)","31.2","23.1","111.81",,
"27091","11908","2020","Martin","All","All Ages 35+ Combined                                                 ","(20.6 - 41.0)","(15.7 - 33.1)","29.5","23.3","35.16",,
"27093","39431","2008-2010","Meeker","All","All Ages 35+ Combined                                                 ","(26.1 - 37.3)","(21.9 - 31.4)","31.7","26.6","125",,
"27093","39896","2011-2013","Meeker","All","All Ages 35+ Combined                                                 ","(23.8 - 34.4)","(19.4 - 28.3)","29.1","23.9","116",,
"27093","39962","2013-2015","Meeker","All","All Ages 35+ Combined                                                 ","(29.2 - 40.8)","(23.9 - 33.7)","35","28.8","140",,
"27093","39118","2015-2017","Meeker","ALL","All Ages 35+ Combined                                                 ","(0.0 - 0.0)","(0.0 - 0.0)","31.6","30.3","123.71",,
