indicator,year,location,ageGroup,ebllDescription,pctEbll,fips,numTested,numEbll,denominator,pctTested,unstable,
"Test year (annual method)","2000","Minnesota","<3 years",">10 mcg/dL (historic reference level)","2.0","27000","28268","569","196758","14.4","false"
"Test year (annual method)","2000","Minnesota","3-<6 years",">10 mcg/dL (historic reference level)","2.9","27000","12903","379","201420","6.4","false"
"Test year (annual method)","2000","Minnesota","<6 years",">10 mcg/dL (historic reference level)","2.3","27000","41171","948","398178","10.3","false"
"Test year (annual method)","2000","Minnesota","<3 years",">15 mcg/dL","0.9","27000","28268","255","196758","14.4","false"
"Test year (annual method)","2000","Minnesota","3-<6 years",">15 mcg/dL","1.2","27000","12903","153","201420","6.4","false"
"Test year (annual method)","2000","Minnesota","<6 years",">15 mcg/dL","1.0","27000","41171","408","398178","10.3","false"
"Test year (annual method)","2000","Minnesota","<3 years","<5 mcg/dL (unelevated)","79.1","27000","28268","22373","196758","14.4","false"
"Test year (annual method)","2000","Minnesota","3-<6 years","<5 mcg/dL (unelevated)","74.8","27000","12903","9651","201420","6.4","false"
"Test year (annual method)","2000","Minnesota","<6 years","<5 mcg/dL (unelevated)","77.8","27000","41171","32024","398178","10.3","false"
"Test year (annual method)","2000","Minnesota","<3 years","5-9 mcg/dL","4.5","27000","28268","1274","196758","14.4","false"
"Test year (annual method)","2000","Minnesota","3-<6 years","5-9 mcg/dL","7.1","27000","12903","912","201420","6.4","false"
"Test year (annual method)","2000","Minnesota","<6 years","5-9 mcg/dL","5.3","27000","41171","2186","398178","10.3","false"
"Test year (annual method)","2000","Minnesota","<3 years","10-14 mcg/dL","1.1","27000","28268","314","196758","14.4","false"
"Test year (annual method)","2000","Minnesota","3-<6 years","10-14 mcg/dL","1.8","27000","12903","226","201420","6.4","false"
"Test year (annual method)","2000","Minnesota","<6 years","10-14 mcg/dL","1.3","27000","41171","540","398178","10.3","false"
"Test year (annual method)","2000","Minnesota","<3 years","15-19 mcg/dL","0.4","27000","28268","123","196758","14.4","false"
"Test year (annual method)","2000","Minnesota","3-<6 years","15-19 mcg/dL","0.7","27000","12903","85","201420","6.4","false"
"Test year (annual method)","2000","Minnesota","<6 years","15-19 mcg/dL","0.5","27000","41171","208","398178","10.3","false"
"Test year (annual method)","2000","Minnesota","<3 years","20-24 mcg/dL","0.2","27000","28268","59","196758","14.4","false"
"Test year (annual method)","2000","Minnesota","3-<6 years","20-24 mcg/dL","0.2","27000","12903","29","201420","6.4","false"
"Test year (annual method)","2000","Minnesota","<6 years","20-24 mcg/dL","0.2","27000","41171","88","398178","10.3","false"
"Test year (annual method)","2000","Minnesota","<3 years","25-44 mcg/dL","0.2","27000","28268","62","196758","14.4","false"
"Test year (annual method)","2000","Minnesota","3-<6 years","25-44 mcg/dL","0.3","27000","12903","37","201420","6.4","false"
"Test year (annual method)","2000","Minnesota","<6 years","25-44 mcg/dL","0.2","27000","41171","99","398178","10.3","false"
"Test year (annual method)","2000","Minnesota","<3 years","45-69 mcg/dL","0.0*","27000","28268","8","196758","14.4","true"
"Test year (annual method)","2000","Minnesota","3-<6 years","45-69 mcg/dL","0.0*","27000","12903","2","201420","6.4","true"
"Test year (annual method)","2000","Minnesota","<6 years","45-69 mcg/dL","0.0*","27000","41171","10","398178","10.3","true"
"Test year (annual method)","2000","Minnesota","<3 years",">70 mcg/dL","0.0*","27000","28268","3","196758","14.4","true"
"Test year (annual method)","2000","Minnesota","3-<6 years",">70 mcg/dL","0.0*","27000","12903","0","201420","6.4","true"
"Test year (annual method)","2000","Minnesota","<6 years",">70 mcg/dL","0.0*","27000","41171","3","398178","10.3","true"
